OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;longueur;largeur;hauteur;Volume;Volume_Formule;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
46;1;45;;;;;2023/08/01 13:34:10.869;"{""Pl""}";10;M;3.4;16.6;1;56.44;#VALEUR!;1;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
47;1;46;;;;;2023/08/01 13:37:05.427;"{""Pl""}";1;M;15;1;1;15;15;1;50;30;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
48;1;47;;;;;2023/08/01 13:39:37.424;"{""Pl""}";1;M;20;2;0.5;20;#VALEUR!;1;90;;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
49;1;48;;;;;2023/08/01 13:49:30.726;"{""Pl""}";5;M;12;2.5;1;30;#VALEUR!;1;50;30;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
50;1;49;;;;;2023/08/01 13:53:35.437;"{""Pl""}";5;M;35;5;2;350;350;2;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
51;1;50;;;;;2023/08/01 13:56:41.751;"{""Pl""}";20;M;28.5;18;1;513;#VALEUR!;1;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
52;1;51;;;;;2023/08/01 14:00:53.065;"{""Pl""}";20;M;6;12.5;1;75;#VALEUR!;1;80;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
53;1;52;;;;;2023/08/01 14:05:04.774;"{""Pl""}";20;M;28;34;1;952;952;2;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
54;1;53;;;;;2023/08/01 14:24:01.144;"{""Ch""}";5;M;4;6;2;48;48;1;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
55;1;54;;;;;2023/08/01 14:27:50.208;"{""Pl""}";1;M;12;1;1;12;12;1;80;10;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
56;1;55;;;;;2023/08/01 14:33:18.335;"{""Pl""}";10;M;16.5;23.5;1.5;581.625;#VALEUR!;3;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
57;1;56;;;;;2023/08/01 14:36:44.174;"{""Pl""}";10;M;48.5;25;1;1212.5;#VALEUR!;3;50;40;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
