OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;Volume;Volume_Formule;longueur;largeur;hauteur;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
52;1;51;;;;;2022/07/18 14:09:59.000;"{""Pl""}";;D;2.5;#VALEUR!;2.5;2;0.5;1;30;70;;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
53;1;52;;;;;2022/07/18 14:12:11.000;"{""Pl""}";;M;3.375;#VALEUR!;4.5;1.5;0.5;1;75;10;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
54;1;53;;;;;2022/07/18 14:17:44.000;"{""Ch""}";15;M;15997.5;#VALEUR!;71.1;50;4.5;3;60;20;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
55;1;54;;;;;2022/07/18 14:25:14.000;"{""Bc""}";;M;1038.387;#VALEUR!;25.1;19.7;2.1;2;60;10;30;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
56;1;55;;;;;2022/07/18 14:28:36.000;"{""Bc""}";;M;15;#VALEUR!;10;1.5;1;2;70;10;20;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
57;1;56;;;;;2022/07/18 14:30:49.000;"{""Bc""}";;P;36.45;#VALEUR!;16.2;1.5;1.5;1;80;5;15;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
58;1;57;;;;;2022/07/18 14:33:50.000;"{""Ch""}";1;M;4.8;#VALEUR!;4.8;1;1;1;90;10;;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
59;1;58;;;;;2022/07/18 14:36:58.000;"{""Bc""}";;M;57.75;#VALEUR!;15.4;2.5;1.5;1;45;20;35;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
60;1;59;;;;;2022/07/18 14:39:19.000;"{""Bc""}";;M;17.784;#VALEUR!;7.8;1.9;1.2;1;40;20;40;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
61;1;60;;;;;2022/07/18 14:51:12.000;"{""Ch""}";1;M;15.3;#VALEUR!;5.1;2;1.5;1;50;50;;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
